sample_id,date,region,community,water_source,season,temperature_c,rainfall_mm,ph_level,turbidity_ntu,dissolved_oxygen_mg_l,nitrate_mg_l,coliform_count_cfu,lead_ppm,disease_cases_reported,disease_risk_score,risk_category
WQ-20998,2024-01-23,South East,New Jimfort,Tap,Dry,28.6,42.1,7.99,23.45,5.32,1.26,274,0.025,3,17.4,Low
WQ-20999,2024-05-28,North West,Annetteton,Lake,Dry,27.4,40.2,9.16,12.98,7.99,20.76,121,0.036,2,18.8,Low
WQ-21000,2025-12-20,South East,Sanchezport,River,Dry,23.3,24.4,4.81,16.34,6.05,24.98,24,0.006,1,17.3,Low
WQ-21001,2022-05-16,South East,Lake Jonathan,Well,Dry,29.0,64.7,5.95,14.23,6.31,6.82,180,0.006,2,14.2,Low
WQ-21002,2022-07-29,North Central,West Rebecca,Well,Dry,32.9,65.3,7.06,16.68,7.87,23.61,326,0.094,2,23.5,Low
WQ-21003,2024-06-06,South West,South Jenniferside,Rainwater,Dry,31.9,62.7,7.2,19.84,6.3,0.58,32,0.014,2,12.3,Low
WQ-21004,2024-05-09,South West,South Eduardo,Rainwater,Dry,28.1,20.0,7.98,7.29,9.03,18.08,194,0.038,1,13.6,Low
WQ-21005,2022-03-22,North Central,Port Michael,Rainwater,Rainy,13.3,37.5,6.88,11.8,4.33,22.64,230,0.025,1,14.9,Low
WQ-21006,2024-01-16,South East,Byrdfurt,River,Rainy,31.1,69.8,5.77,21.09,9.49,29.96,16,0.002,3,20.1,Low
WQ-21007,2022-02-18,North Central,Hallmouth,River,Dry,31.1,92.6,5.84,13.59,7.29,13.5,140,0.027,7,17.8,Low
WQ-21008,2025-01-13,North East,South Cherylport,Lake,Rainy,31.4,70.1,8.5,7.51,4.82,26.97,96,0.016,2,16.7,Low
WQ-21009,2023-11-13,South South,East Randy,Tap,Dry,28.0,41.6,6.13,17.74,5.85,1.28,263,0.002,1,13.5,Low
WQ-21010,2022-10-16,South South,New Pam,Well,Dry,35.2,39.4,6.54,17.71,6.14,12.81,115,0.1,3,19.5,Low
WQ-21011,2023-12-30,North East,Kyletown,Borehole,Rainy,24.3,82.0,6.38,14.63,4.39,5.94,88,0.035,1,15.1,Low
WQ-21012,2023-10-03,South East,Kellybury,Tap,Rainy,28.3,39.8,7.41,24.16,7.33,15.82,65,0.048,3,18.7,Low
WQ-21013,2022-03-15,North East,South Amberfort,Tap,Rainy,29.3,121.9,8.56,7.88,6.63,35.72,252,0.012,4,22.6,Low
WQ-21014,2022-11-15,South South,South Jeff,Tap,Rainy,33.0,23.9,6.18,4.4,3.48,27.44,44,0.009,2,11.0,Low
WQ-21015,2023-03-03,North East,Heatherside,Well,Rainy,33.1,20.3,6.13,26.06,6.0,17.35,217,0.053,4,21.5,Low
WQ-21016,2024-06-09,South South,Port Krystalmouth,Well,Dry,21.0,21.2,7.53,8.51,6.76,1.32,248,0.066,2,12.2,Low
WQ-21017,2022-11-13,North Central,Whitefort,River,Dry,20.9,26.7,8.51,11.42,7.49,18.78,91,0.045,1,16.1,Low
WQ-21018,2023-09-07,North Central,Lake Ashleeton,Rainwater,Dry,25.4,23.1,8.11,0.33,3.63,27.97,292,0.033,2,14.1,Low
WQ-21019,2025-01-13,North West,Davismouth,River,Dry,35.5,41.7,7.59,8.96,10.31,8.93,326,0.018,2,12.8,Low
WQ-21020,2023-07-19,North Central,North April,Well,Rainy,28.5,75.2,7.65,1.1,7.34,3.83,277,0.021,2,10.3,Low
WQ-21021,2024-09-03,North Central,Mariatown,River,Dry,24.7,26.0,7.75,9.37,5.85,13.04,224,0.03,1,13.0,Low
WQ-21022,2023-12-03,South West,Jaystad,Well,Dry,16.5,3.6,6.89,20.86,9.16,13.51,154,0.011,2,13.2,Low
WQ-21023,2023-01-10,North West,New Rebeccafurt,Tap,Rainy,21.8,77.1,7.42,28.49,6.02,2.02,446,0.008,4,20.7,Low
WQ-21024,2025-03-09,North East,Lake Elizabeth,Well,Rainy,26.1,21.9,8.47,6.31,5.91,10.1,208,0.078,2,15.4,Low
WQ-21025,2022-06-01,North East,New Richard,River,Rainy,31.6,60.6,9.89,19.5,6.33,16.71,83,0.016,4,21.3,Low
WQ-21026,2024-08-21,South South,East Kennethburgh,River,Dry,27.3,0.5,7.62,11.3,6.91,16.76,79,0.018,2,10.8,Low
WQ-21027,2025-10-05,North West,Scotttown,Well,Dry,25.0,11.8,5.93,17.47,7.48,25.05,252,0.008,1,17.3,Low
WQ-21028,2022-12-02,North Central,Emilyview,Well,Rainy,26.9,12.1,6.22,13.69,4.74,20.14,149,0.013,2,13.6,Low
WQ-21029,2024-11-06,South South,North Justin,Lake,Rainy,21.0,20.9,7.1,2.25,5.67,21.47,37,0.038,0,9.1,Low
WQ-21030,2023-10-24,North East,New Deborah,River,Rainy,25.6,9.1,8.79,16.65,7.55,23.0,366,0.004,2,18.8,Low
WQ-21031,2022-12-05,North East,Port Nathanielview,Rainwater,Dry,29.2,58.6,3.89,5.68,7.62,5.81,42,0.047,1,15.8,Low
WQ-21032,2025-07-09,South South,North Markshire,Lake,Dry,22.1,85.0,6.45,0.09,6.87,9.15,395,0.067,4,15.4,Low
WQ-21033,2023-07-06,South East,West Tinaville,Tap,Dry,30.8,63.9,5.35,24.6,7.98,6.98,170,0.035,3,21.0,Low
WQ-21034,2025-04-01,South West,New Loriville,Borehole,Dry,27.3,34.5,5.11,0.09,5.7,17.57,202,0.018,0,12.2,Low
WQ-21035,2024-05-16,South South,Lake David,Rainwater,Dry,32.7,11.3,8.27,14.05,3.97,2.23,248,0.023,1,12.7,Low
WQ-21036,2022-03-27,South South,Meganville,Lake,Rainy,24.7,28.2,7.88,16.37,5.84,12.84,57,0.018,1,13.6,Low
WQ-21037,2022-06-05,North Central,Smithstad,Tap,Dry,29.9,48.4,5.29,15.12,6.45,25.75,4,0.016,2,17.7,Low
WQ-21038,2024-12-27,North West,Lake Wendyshire,Lake,Dry,31.3,18.1,7.54,22.57,8.12,5.7,229,0.05,1,17.0,Low
WQ-21039,2023-08-03,North West,Port Jenniferfurt,Lake,Rainy,27.4,19.5,9.0,10.91,8.13,24.31,228,0.052,1,19.5,Low
WQ-21040,2022-05-04,North West,Royport,Borehole,Dry,26.5,23.9,6.46,1.21,6.36,14.14,150,0.035,2,9.2,Low
WQ-21041,2025-08-08,North West,Copelandmouth,Well,Dry,24.1,28.3,6.04,11.11,8.08,15.15,176,0.07,1,16.7,Low
WQ-21042,2022-09-18,North Central,West Raymond,Lake,Dry,31.1,73.7,5.07,9.85,6.02,24.9,177,0.044,5,20.7,Low
WQ-21043,2023-09-05,North East,New Zacharyland,Lake,Rainy,26.8,20.3,8.41,16.41,5.88,19.19,59,0.009,0,15.0,Low
WQ-21044,2022-11-15,South South,South Grant,River,Dry,31.6,37.9,7.25,23.76,7.5,12.64,308,0.034,2,19.0,Low
WQ-21045,2025-07-23,South East,West Jontown,River,Rainy,23.3,61.1,5.41,12.99,5.51,29.89,52,0.017,2,18.7,Low
WQ-21046,2022-03-12,North West,East Cynthiaton,Lake,Rainy,27.2,73.6,6.07,5.69,6.68,10.82,196,0.037,3,14.1,Low
WQ-21047,2023-09-16,North East,Randyhaven,Rainwater,Dry,30.2,21.6,7.01,13.77,4.99,18.26,192,0.059,1,15.5,Low
WQ-21048,2025-06-27,South East,Castroshire,Tap,Rainy,22.9,21.4,5.47,27.07,5.37,21.07,11,0.07,4,23.0,Low
WQ-21049,2023-01-20,South South,South Darrell,Well,Dry,32.6,11.5,7.81,12.67,8.44,10.42,28,0.05,4,12.4,Low
WQ-21050,2024-08-26,North East,Andrewview,Well,Dry,28.1,14.6,9.26,9.04,7.95,11.69,187,0.015,1,13.8,Low
WQ-21051,2023-01-05,South East,Cruzville,Lake,Rainy,19.7,44.9,5.71,13.55,7.5,37.97,399,0.081,3,26.6,Low
WQ-21052,2024-06-24,North East,East Joshuaberg,Lake,Rainy,26.7,57.4,7.31,23.02,7.45,14.67,270,0.022,5,19.1,Low
WQ-21053,2025-01-28,North Central,Whiteheadberg,Tap,Rainy,27.0,8.6,9.24,13.24,8.91,13.21,137,0.078,1,18.8,Low
WQ-21054,2022-09-07,North West,West Ashleymouth,River,Rainy,32.2,31.5,5.52,21.76,7.01,10.37,283,0.007,2,18.0,Low
WQ-21055,2025-10-10,North West,Sandraborough,Well,Rainy,28.5,23.8,7.38,7.64,5.35,3.08,11,0.015,0,6.5,Low
WQ-21056,2022-03-23,South East,Williamsonview,River,Rainy,25.3,29.4,8.94,20.02,5.44,33.55,107,0.053,4,23.9,Low
WQ-21057,2024-10-27,North West,Monicafort,Well,Dry,24.5,119.9,8.11,8.54,7.65,31.84,165,0.053,4,22.7,Low
WQ-21058,2025-01-13,North West,East Victoriachester,Well,Rainy,28.6,23.3,6.46,0.75,7.23,25.53,178,0.015,1,10.3,Low
WQ-21059,2025-07-26,South South,West Jessicaland,Well,Dry,25.4,67.8,7.03,10.27,5.76,21.6,54,0.063,1,16.1,Low
WQ-21060,2023-03-27,South South,Griffinberg,Rainwater,Dry,28.0,36.4,9.24,14.92,7.41,10.2,192,0.04,1,18.4,Low
WQ-21061,2025-11-01,North West,Port Tamiville,Tap,Rainy,26.0,38.4,6.71,7.03,9.23,8.66,103,0.054,1,11.3,Low
WQ-21062,2025-02-10,North West,Lesliehaven,Well,Rainy,31.1,77.3,5.62,16.63,5.75,22.67,64,0.082,2,23.2,Low
WQ-21063,2022-09-11,North West,Rossbury,River,Dry,27.9,35.2,6.81,20.14,6.39,9.41,70,0.034,2,14.4,Low
WQ-21064,2024-12-27,North Central,Port Jason,River,Dry,25.3,62.6,7.89,35.25,7.04,5.27,15,0.042,2,22.0,Low
WQ-21065,2023-01-17,North East,East Christinefort,River,Dry,23.3,61.5,8.16,7.4,6.85,7.97,112,0.017,2,11.9,Low
WQ-21066,2025-08-20,North Central,South Jason,Tap,Dry,29.7,31.3,7.94,16.86,7.52,15.57,92,0.029,2,15.6,Low
WQ-21067,2024-01-01,South East,West Lisafort,Tap,Dry,29.2,13.2,7.29,6.55,7.04,23.29,185,0.013,2,11.0,Low
WQ-21068,2023-02-28,North Central,Jasonport,Rainwater,Rainy,23.9,76.8,6.63,7.06,5.95,26.34,206,0.108,6,21.3,Low
WQ-21069,2022-10-31,South West,Tinaborough,Borehole,Dry,26.2,29.5,7.93,14.73,6.13,23.17,162,0.025,2,16.7,Low
WQ-21070,2023-03-24,South West,Lake Rhonda,Lake,Dry,27.0,18.6,6.45,4.16,5.5,19.77,168,0.025,1,10.8,Low
WQ-21071,2023-10-30,North Central,Harrisview,River,Rainy,28.6,73.0,6.38,13.85,6.55,11.11,54,0.052,2,16.1,Low
WQ-21072,2022-01-04,North East,Lake Chelseamouth,Lake,Dry,26.5,15.8,7.15,13.67,7.01,10.71,165,0.014,1,10.9,Low
WQ-21073,2025-06-04,North Central,New Carolynborough,Tap,Rainy,21.3,50.0,8.74,13.85,7.4,12.68,59,0.003,0,14.5,Low
WQ-21074,2022-06-04,South South,Lake Brianhaven,Rainwater,Rainy,28.1,29.4,7.35,10.52,6.16,17.59,102,0.043,1,13.3,Low
WQ-21075,2024-12-06,North Central,Port Alicia,Well,Rainy,28.9,8.5,7.38,3.72,7.74,8.47,186,0.067,1,10.3,Low
WQ-21076,2023-05-19,North West,West Kelly,Borehole,Rainy,33.9,41.5,6.59,8.22,6.4,12.51,123,0.072,1,14.2,Low
WQ-21077,2025-01-14,South South,Danielhaven,Borehole,Dry,30.0,25.1,7.93,10.53,6.45,40.59,160,0.056,3,20.3,Low
WQ-21078,2023-11-09,South East,South Manuelberg,Tap,Rainy,27.6,87.6,8.14,5.88,6.85,3.22,227,0.136,4,20.3,Low
WQ-21079,2023-10-07,South South,Port Jamesville,Lake,Dry,26.4,55.8,7.19,17.37,8.26,29.37,73,0.042,0,18.9,Low
WQ-21080,2024-02-14,North East,Mistystad,Rainwater,Dry,34.7,7.4,5.78,28.09,4.83,13.76,34,0.101,4,22.7,Low
WQ-21081,2023-05-09,North East,East Steven,River,Dry,24.2,21.7,7.5,14.76,8.34,16.69,219,0.008,3,13.6,Low
WQ-21082,2023-07-20,South South,East Meganshire,River,Rainy,26.0,14.1,7.05,4.11,5.51,11.34,303,0.03,0,9.5,Low
WQ-21083,2023-07-02,South East,Walkerfort,Rainwater,Rainy,21.6,29.1,8.94,13.51,5.92,17.88,124,0.042,1,17.8,Low
WQ-21084,2024-06-01,South South,Amymouth,Lake,Rainy,26.0,25.8,6.46,21.91,5.39,9.73,137,0.015,1,14.8,Low
WQ-21085,2022-01-31,North West,Hoffmanfurt,Lake,Dry,20.6,26.7,4.88,11.73,6.09,16.46,207,0.045,2,18.1,Low
WQ-21086,2022-04-16,North West,Port Devinland,Well,Rainy,26.2,54.1,7.59,13.35,7.05,0.09,105,0.057,3,13.5,Low
WQ-21087,2024-01-25,South East,Port Anthonyton,River,Dry,23.7,7.1,5.42,3.4,6.41,11.71,149,0.018,0,9.7,Low
WQ-21088,2024-04-17,South East,Lake Hannahfort,Rainwater,Dry,26.1,16.0,10.8,16.97,8.79,3.6,162,0.048,2,20.1,Low
WQ-21089,2024-09-11,North East,Spenceport,Lake,Dry,25.9,5.2,6.6,21.01,10.37,11.87,96,0.089,4,17.8,Low
WQ-21090,2025-05-26,South East,Port Michelleborough,River,Rainy,28.2,15.4,7.38,19.22,7.22,16.23,64,0.01,2,13.2,Low
WQ-21091,2023-03-07,North East,South James,Well,Dry,22.4,14.8,6.06,18.75,5.45,29.64,271,0.097,5,24.4,Low
WQ-21092,2024-05-05,North East,New Gabrielland,Borehole,Rainy,27.1,30.9,6.6,13.46,9.06,3.91,168,0.045,2,12.7,Low
WQ-21093,2023-11-28,North East,East Jack,Tap,Dry,27.9,100.6,7.0,14.85,6.82,12.8,16,0.092,2,19.1,Low
WQ-21094,2022-05-23,North Central,Kingport,Tap,Dry,25.7,12.3,6.96,8.39,6.37,4.42,354,0.03,1,10.1,Low
WQ-21095,2025-01-31,North East,Moralesbury,Borehole,Dry,31.1,3.9,6.23,9.89,6.69,8.55,6,0.003,0,7.4,Low
WQ-21096,2024-01-19,North West,Steventon,Borehole,Rainy,30.0,26.5,8.33,9.56,8.51,7.37,8,0.067,1,13.3,Low
WQ-21097,2022-09-24,South South,Port Marthafort,Rainwater,Dry,40.1,65.2,6.82,26.99,4.9,20.3,51,0.033,5,20.4,Low
WQ-21098,2025-10-23,North East,Candicefurt,Tap,Dry,30.3,23.6,6.87,8.4,8.86,10.51,8,0.009,0,7.3,Low
WQ-21099,2025-04-28,North West,Ballburgh,Rainwater,Rainy,25.9,78.3,8.21,2.98,7.26,24.53,276,0.054,3,18.5,Low
WQ-21100,2024-10-10,South South,Paulland,River,Dry,29.1,17.2,6.47,6.43,7.08,4.43,374,0.084,3,14.2,Low
WQ-21101,2024-10-31,South South,Mcgeebury,Well,Rainy,27.9,41.2,6.77,12.16,4.85,34.45,211,0.009,4,16.6,Low
WQ-21102,2023-07-14,South West,Elizabethland,Tap,Dry,28.1,3.6,9.44,4.61,6.39,26.19,173,0.067,3,17.9,Low
WQ-21103,2025-01-11,North Central,Lake David,Well,Dry,25.6,14.1,7.27,10.03,4.57,15.49,329,0.01,2,12.0,Low
WQ-21104,2024-06-18,South East,South Melissa,Tap,Rainy,34.0,24.6,8.39,12.63,6.74,18.43,46,0.011,1,13.6,Low
WQ-21105,2024-09-11,South East,West Justinhaven,Borehole,Dry,34.1,12.1,5.34,32.37,6.83,25.86,165,0.001,3,22.9,Low
WQ-21106,2025-03-04,South West,Brianside,River,Rainy,25.1,15.7,7.23,15.47,5.73,26.19,271,0.034,4,17.1,Low
WQ-21107,2025-02-11,South East,Walkertown,Tap,Dry,24.8,25.5,7.14,21.17,6.14,9.57,23,0.021,1,13.0,Low
WQ-21108,2024-06-26,North Central,East Timothy,River,Rainy,29.9,12.2,5.95,33.57,7.89,5.05,134,0.014,3,18.5,Low
WQ-21109,2025-11-02,North Central,Williamsbury,Lake,Rainy,29.1,23.6,7.55,11.33,5.97,15.92,374,0.032,3,15.5,Low
WQ-21110,2022-03-09,South East,Lake Brenda,Lake,Rainy,26.0,26.7,7.64,2.92,7.43,19.65,159,0.049,1,12.3,Low
WQ-21111,2023-11-21,North Central,Masonbury,River,Dry,29.8,27.0,6.79,20.48,7.09,25.14,200,0.012,4,17.2,Low
WQ-21112,2022-12-24,South East,North Tyler,Rainwater,Dry,22.6,64.6,7.62,16.46,6.27,30.08,109,0.031,4,19.7,Low
WQ-21113,2025-06-06,North East,Sloanport,Lake,Rainy,32.6,61.4,7.06,1.81,5.47,6.17,296,0.014,1,8.9,Low
WQ-21114,2025-01-15,South West,Zoehaven,Tap,Dry,20.0,46.7,8.19,10.17,6.24,9.02,158,0.037,0,14.2,Low
WQ-21115,2024-06-09,North East,Lake Kevin,Well,Dry,28.0,29.9,6.28,17.05,7.65,13.04,260,0.098,6,20.7,Low
WQ-21116,2025-07-02,North East,South Samuel,Tap,Dry,23.2,15.9,5.81,1.95,8.57,28.21,428,0.045,3,16.6,Low
WQ-21117,2024-03-22,North West,Guzmanfort,Lake,Dry,23.4,22.2,9.36,10.88,6.93,13.68,171,0.043,1,17.0,Low
WQ-21118,2023-07-10,North West,North Richardport,Well,Dry,25.9,50.2,4.53,15.07,3.95,33.76,258,0.014,0,23.3,Low
WQ-21119,2024-06-20,South South,New Lisaburgh,Tap,Rainy,33.4,51.1,10.17,17.5,7.16,15.41,322,0.056,6,25.3,Low
WQ-21120,2025-03-13,South West,Gouldville,Well,Rainy,29.6,28.8,7.5,12.92,6.22,1.98,231,0.085,0,15.3,Low
WQ-21121,2022-09-06,South West,New Kathyberg,Rainwater,Rainy,29.8,92.5,6.23,21.89,5.39,21.68,267,0.078,3,26.3,Low
WQ-21122,2024-02-16,South South,South Eric,Rainwater,Dry,27.8,91.2,7.94,19.51,3.84,8.79,251,0.013,0,18.8,Low
WQ-21123,2025-01-14,South South,Lake Bonnie,Lake,Dry,24.7,5.6,7.55,24.46,5.86,21.48,132,0.022,3,17.5,Low
WQ-21124,2025-04-15,South South,Lake Timothyview,Rainwater,Dry,24.3,57.4,7.56,20.28,7.9,8.34,113,0.062,2,18.3,Low
WQ-21125,2024-06-17,North East,Nicolemouth,River,Dry,32.2,31.8,7.36,2.74,6.92,5.59,277,0.006,0,7.6,Low
WQ-21126,2023-08-22,South South,Port Michellemouth,Tap,Rainy,35.0,54.5,6.66,4.94,7.29,13.0,123,0.019,1,10.3,Low
WQ-21127,2024-09-01,South West,New Christopherfurt,Rainwater,Dry,21.3,27.2,8.73,6.43,7.48,18.71,108,0.088,3,17.6,Low
WQ-21128,2023-11-19,North West,West Kenneth,Well,Dry,27.5,100.8,5.8,20.7,6.47,15.16,208,0.013,2,21.1,Low
WQ-21129,2025-07-06,South West,Lawsonside,River,Dry,25.1,50.5,6.08,20.49,5.08,25.76,281,0.026,2,21.6,Low
WQ-21130,2022-10-11,North East,Lake Michaelstad,Well,Rainy,28.4,17.3,6.46,7.08,6.87,18.98,41,0.043,3,11.5,Low
WQ-21131,2023-01-30,North West,East Emma,Borehole,Dry,29.0,29.0,5.79,14.69,5.6,21.99,132,0.017,2,16.2,Low
WQ-21132,2023-02-15,North Central,Port Makayla,Rainwater,Rainy,21.5,18.6,7.24,13.79,5.08,8.27,159,0.117,1,17.1,Low
WQ-21133,2022-04-14,South West,South Joseshire,Tap,Rainy,26.4,37.1,7.5,4.87,9.28,13.25,88,0.021,2,9.5,Low
WQ-21134,2024-11-27,South West,Jeffreymouth,River,Rainy,21.5,17.8,5.3,14.89,5.83,29.77,334,0.054,5,22.5,Low
WQ-21135,2023-05-27,South East,South Scottland,Borehole,Dry,23.1,31.2,5.76,8.71,7.37,19.29,293,0.08,5,19.1,Low
WQ-21136,2024-10-22,North East,New Nancy,Borehole,Rainy,28.2,26.7,7.05,9.61,5.71,23.14,173,0.084,2,16.6,Low
WQ-21137,2023-03-03,North East,Pattersonview,Lake,Rainy,29.6,17.1,5.88,9.76,8.18,8.14,8,0.016,2,9.5,Low
WQ-21138,2024-11-12,North Central,New Kaitlynborough,River,Dry,30.7,25.2,8.71,14.9,7.6,17.83,91,0.06,1,18.5,Low
WQ-21139,2024-08-11,North West,Ambertown,Rainwater,Rainy,27.2,25.7,7.69,21.47,3.96,8.49,116,0.052,3,16.8,Low
WQ-21140,2022-02-16,North West,Port Brittany,River,Rainy,34.0,26.0,7.17,1.86,4.8,12.99,450,0.009,1,10.0,Low
WQ-21141,2023-05-10,North West,West Nicoletown,Rainwater,Dry,35.3,161.6,6.98,10.56,6.57,6.19,22,0.075,3,18.2,Low
WQ-21142,2024-06-17,South East,Bennettborough,River,Dry,30.1,32.1,7.49,8.77,5.63,17.14,130,0.009,0,11.2,Low
WQ-21143,2024-06-06,South West,Cabreramouth,Well,Dry,25.5,29.6,7.47,6.7,5.83,8.59,67,0.059,1,11.0,Low
WQ-21144,2024-08-09,North Central,Paulview,Lake,Rainy,27.2,30.9,7.27,17.03,3.2,10.91,217,0.01,3,13.4,Low
WQ-21145,2025-10-13,North Central,South Kaylaberg,Rainwater,Dry,19.8,33.2,7.03,16.06,5.95,7.64,200,0.061,2,15.1,Low
WQ-21146,2022-05-28,South West,New Zacharyview,Tap,Rainy,29.8,32.2,7.67,8.83,3.35,5.58,337,0.042,1,13.4,Low
WQ-21147,2023-07-19,North East,Andreaton,Borehole,Dry,26.5,13.3,4.99,5.52,4.05,27.74,64,0.049,3,16.0,Low
WQ-21148,2024-07-06,North East,Reginaport,Rainwater,Rainy,26.8,8.9,6.65,10.93,3.39,17.11,361,0.007,1,12.7,Low
WQ-21149,2023-06-02,North East,East Tinatown,Borehole,Rainy,35.1,59.4,6.76,26.79,5.09,10.09,145,0.027,6,18.7,Low
WQ-21150,2023-02-23,South East,Lake Jason,Rainwater,Rainy,26.8,33.1,9.63,8.34,5.79,16.08,133,0.051,0,17.8,Low
WQ-21151,2024-03-07,South South,Juliabury,Tap,Rainy,29.1,22.1,7.23,21.56,5.88,13.88,59,0.091,2,18.7,Low
WQ-21152,2025-01-28,North Central,Brownside,Borehole,Rainy,23.3,4.3,5.02,2.91,8.51,28.06,311,0.015,3,14.9,Low
WQ-21153,2024-07-13,South West,New Tonya,Borehole,Dry,31.4,21.0,8.18,4.15,5.96,14.23,267,0.066,3,14.6,Low
WQ-21154,2025-06-23,South East,Amandahaven,Rainwater,Rainy,30.9,18.0,6.14,24.34,5.01,20.97,309,0.072,4,23.5,Low
WQ-21155,2023-10-29,North Central,Roberthaven,Tap,Rainy,32.7,46.5,7.62,3.57,6.89,18.88,24,0.008,4,9.4,Low
WQ-21156,2023-03-28,North West,Brownberg,Rainwater,Dry,25.0,28.9,7.22,3.88,8.53,3.1,89,0.031,3,6.8,Low
WQ-21157,2022-10-24,South South,Lake Toddfurt,Borehole,Rainy,30.2,6.2,8.02,13.43,6.21,8.32,73,0.007,3,10.2,Low
WQ-21158,2025-07-03,South East,South Claytonstad,Borehole,Rainy,22.0,30.3,5.72,5.73,3.86,25.18,78,0.05,3,15.2,Low
WQ-21159,2024-12-04,North Central,Lake Edwin,Well,Dry,32.1,47.5,7.01,16.34,3.83,35.38,113,0.035,1,18.9,Low
WQ-21160,2023-05-02,North West,West Ryan,Tap,Dry,23.4,48.8,6.47,5.44,5.2,10.65,123,0.027,1,10.6,Low
WQ-21161,2022-08-14,North East,New Alexanderberg,River,Dry,32.4,3.1,6.74,8.92,8.16,4.48,220,0.059,3,10.8,Low
WQ-21162,2025-04-04,South East,Sarahmouth,Tap,Dry,26.1,77.7,6.87,18.48,7.25,15.18,368,0.062,2,21.7,Low
WQ-21163,2024-07-15,North Central,Port Christine,Borehole,Dry,25.6,16.6,9.48,16.76,10.57,0.7,161,0.034,0,16.0,Low
WQ-21164,2025-08-07,North East,Herreraville,Lake,Rainy,29.2,28.0,7.61,28.23,4.18,25.95,73,0.006,1,19.5,Low
WQ-21165,2022-09-01,South East,East Steve,Borehole,Rainy,26.1,53.4,7.5,0.43,5.0,13.44,363,0.042,1,12.8,Low
WQ-21166,2022-06-26,South West,Kennethport,Rainwater,Rainy,26.1,113.9,7.04,7.63,8.1,11.8,66,0.001,1,11.7,Low
WQ-21167,2023-09-02,North East,Lake Melissa,Borehole,Rainy,29.1,48.0,5.8,13.99,4.44,14.74,171,0.051,3,17.9,Low
WQ-21168,2025-05-12,North West,Frazierside,Well,Dry,27.0,8.1,7.46,2.37,7.38,18.67,68,0.042,1,9.3,Low
WQ-21169,2023-02-10,North Central,Antoniofurt,Lake,Dry,33.1,40.4,5.73,2.32,5.27,5.63,89,0.027,2,9.1,Low
WQ-21170,2025-08-03,North West,Alvarezside,Rainwater,Dry,22.6,9.4,7.35,2.68,8.94,21.46,248,0.064,1,12.9,Low
WQ-21171,2025-08-17,North Central,Port Krista,Well,Rainy,28.3,7.2,7.48,21.62,5.92,8.3,318,0.041,0,16.8,Low
WQ-21172,2025-04-05,North Central,Perkinston,Rainwater,Dry,26.6,102.4,5.79,12.34,8.22,34.56,34,0.046,3,22.3,Low
WQ-21173,2024-05-01,South West,Lovechester,River,Dry,32.0,15.4,6.45,1.31,4.92,28.78,217,0.022,0,11.7,Low
WQ-21174,2023-02-26,North East,East Evanton,Lake,Dry,36.6,37.0,6.32,13.93,8.27,1.4,113,0.062,5,13.7,Low
WQ-21175,2025-07-07,North Central,Jamesberg,Tap,Dry,27.2,34.3,6.42,17.12,9.52,22.8,280,0.033,0,18.7,Low
WQ-21176,2023-06-17,South East,Castilloville,Borehole,Rainy,33.7,63.2,6.19,2.7,5.48,9.21,330,0.062,3,14.8,Low
WQ-21177,2024-04-04,North East,Shannonland,Lake,Rainy,22.3,86.1,4.45,13.53,6.7,23.43,170,0.065,4,24.9,Low
WQ-21178,2025-08-16,North Central,Yatesborough,River,Rainy,20.9,11.8,6.87,34.25,6.32,21.89,78,0.009,3,19.4,Low
WQ-21179,2025-11-23,South East,Rebeccastad,Rainwater,Dry,24.6,1.9,5.53,16.51,7.85,2.21,182,0.087,2,16.9,Low
WQ-21180,2022-08-29,North East,Kristenside,River,Dry,26.6,52.7,5.37,13.83,9.0,10.9,0,0.034,2,15.4,Low
WQ-21181,2023-02-12,South West,East Haleyburgh,Tap,Dry,22.7,41.4,5.79,12.98,7.55,24.59,164,0.041,4,18.5,Low
WQ-21182,2025-10-22,North Central,Barrystad,Rainwater,Dry,22.1,21.1,7.68,18.34,8.34,32.23,174,0.039,2,19.9,Low
WQ-21183,2023-05-08,South West,Adammouth,Well,Rainy,23.4,53.2,6.61,15.92,7.47,10.48,185,0.043,3,16.0,Low
WQ-21184,2023-08-21,South West,New Valeriechester,Borehole,Dry,27.7,20.0,6.11,15.37,6.49,25.86,213,0.053,5,19.2,Low
WQ-21185,2023-12-18,North Central,Suttonfurt,River,Dry,24.8,44.7,5.79,11.51,3.97,18.51,59,0.019,2,14.5,Low
WQ-21186,2023-08-03,North East,South Jacqueline,Borehole,Dry,26.5,21.9,7.93,2.52,8.07,7.98,405,0.037,3,11.9,Low
WQ-21187,2024-04-25,North Central,Port Loriview,River,Rainy,25.8,23.0,7.83,13.36,8.42,13.95,202,0.049,0,15.7,Low
WQ-21188,2025-01-22,North Central,Lake David,Tap,Rainy,21.3,86.1,4.06,3.57,5.33,9.18,362,0.034,1,19.1,Low
WQ-21189,2023-05-18,North Central,South Jamie,River,Dry,30.9,48.2,8.32,4.65,6.02,14.09,172,0.015,2,12.3,Low
WQ-21190,2024-02-04,North East,Danielport,River,Rainy,32.3,5.6,8.02,22.36,6.17,26.1,89,0.04,5,19.3,Low
WQ-21191,2023-02-25,North West,Whitneybury,River,Dry,22.4,27.6,6.88,3.97,9.42,24.26,339,0.041,0,13.9,Low
